#   X   	   Y   
#---------	---------
-0.980786	1.656716
-0.925463	2.045650
-0.531521	-0.046248
-0.507176	0.459647
-0.481519	0.930008
-0.454793	1.367315
0.374655	0.101926
0.354432	0.592918
0.337675	1.049641
0.324039	1.474478
-0.373554	0.130825
-0.129239	-0.034536
-0.124950	0.468528
-0.118360	0.936356
-0.109760	1.371403
0.361671	0.157294
0.342374	0.644476
-0.206912	0.100559
0.111388	0.090916
0.104273	0.583995
0.099980	1.042594
0.098194	1.469113
0.098630	1.865784
0.101027	2.234686
0.105149	2.577753
0.110780	2.896784
0.117725	3.193456
0.125806	3.469325
0.134863	3.725843
0.144749	3.964360
0.155333	4.186131
0.166497	4.392325
0.178134	4.584030
0.190147	4.762257
0.202451	4.927948
0.214968	5.081980
-1.098872	0.257674
-1.044640	0.745131
-0.990682	1.198195
-0.937157	1.619275
-0.884203	2.010612
-0.831940	2.374290
-0.780471	2.712249
-0.729887	3.026294
-0.720805	0.024270
-0.686643	0.526175
-0.651680	0.992776
-0.616132	1.426540
0.392953	0.078480
0.371698	0.571022
-0.191195	0.102313
-0.183124	0.596107
-0.172987	1.055295
-0.161061	1.482289
-0.147597	1.879334
-0.132820	2.248519
-0.116937	2.591787
-0.100131	2.910946
-0.082569	3.207681
-0.064403	3.483556
-0.045765	3.740029
-0.026776	3.978456
0.879762	0.274854
0.835148	0.751215
-0.211013	0.183672
-0.201544	0.671870
-0.190107	1.125847
-0.176973	1.547988
-0.162384	1.940514
-0.146562	2.305490
-0.129707	2.644839
-0.111997	2.960348
-0.093596	3.253684
-0.074647	3.526394
-0.055283	3.779920
-0.035619	4.015602
-0.894367	0.174925
-0.850774	0.667152
-0.806900	1.124705
-0.762931	1.550010
-0.719034	1.945324
-0.675356	2.312747
-0.576187	0.004453
-0.549355	0.507022
-0.521352	0.974277
-0.492413	1.408685
-0.462749	1.812539
-0.432549	2.187975
-0.401982	2.536979
-0.371198	2.861401
-0.340331	3.162959
0.729205	0.192065
0.092245	0.244355
0.086854	0.726789
0.084146	1.175480
-0.322151	0.080482
-0.307641	0.576459
-0.291377	1.037646
-0.273620	1.466467
-0.254606	1.865183
-0.471948	0.053870
-0.450081	0.552459
-0.426815	1.016037
-0.402394	1.447049
-0.393494	0.013499
-0.106472	-0.042419
-0.103361	0.461083
-0.097887	0.929324
-0.090346	1.364760
-0.081005	1.769679
-0.070106	2.146206
-0.057870	2.496323
-0.044495	2.821869
-0.030161	3.124561
-0.015030	3.405992
0.000751	3.667648
0.017052	3.910909
0.033754	4.137060
0.050752	4.347297
0.067951	4.542733
-0.996168	0.212581
0.165363	-0.030884
0.154940	0.470451
-0.178667	0.063609
-0.171416	0.560049
-0.162045	1.021703
-0.150834	1.450994
-0.138037	1.850179
-0.123885	2.221356
-0.108584	2.566481
-0.092322	2.887370
-0.075269	3.185716
-0.057577	3.463092
-0.039383	3.720963
-0.020809	3.960693
-0.001965	4.183548
0.017051	4.390710
0.036152	4.583275
0.055261	4.762265
1.033243	0.319332
0.981177	0.791813
0.934077	1.231480
0.891531	1.640606
0.853157	2.021306
0.818606	2.375549
0.787553	2.705167
0.759702	3.011868
0.734776	3.297239
0.712523	3.562758
0.692711	3.809802
0.675124	4.039653
0.659566	4.253501
0.645856	4.452458
0.633825	4.637557
0.623322	4.809759
0.614204	4.969959
0.606344	5.118991
0.599622	5.257630
0.593929	5.386598
0.589165	5.506566
0.585240	5.618161
0.582069	5.721963
0.579575	5.818516
0.577689	5.908322
1.241557	0.448763
1.179723	0.911142
1.123292	1.341463
1.071835	1.741944
1.024953	2.114649
0.982279	2.461499
0.943472	2.784283
0.908220	3.084665
0.876232	3.364198
0.000000	0.441049
-0.178210	0.037642
-0.171111	0.535898
-0.161876	0.999241
-0.150786	1.430103
-0.138096	1.830750
-0.124038	2.203288
-0.534999	0.088285
-0.509808	0.584780
-0.483393	1.046395
-0.455992	1.475564
-0.427814	1.874555
-0.399051	2.245475
-0.369871	2.590287
-0.340426	2.910816
-0.684078	0.081965
-0.651464	0.579647
-0.617993	1.042329
-0.583882	1.472456
-0.549325	1.872304
-0.514498	2.243989
-0.479553	2.589482
-0.444628	2.910616
0.682908	0.165284
0.647589	0.650300
0.616461	1.101541
0.589146	1.521351
0.565295	1.911910
0.544590	2.275250
0.516266	0.298144
0.489944	0.774693
0.467320	1.218015
0.448044	1.630417
0.431794	2.014048
0.418275	2.370905
0.407215	2.702851
-0.616318	0.193268
-0.586535	0.682821
0.243026	0.053467
0.229142	0.548509
0.183536	0.178603
0.173252	0.665183
0.209107	0.174328
0.197523	0.661079
0.188952	1.113816
0.183074	1.534904
0.179594	1.926546
0.178247	2.290789
0.178789	2.629543
0.180997	2.944581
0.184670	3.237555
0.189625	3.510003
0.195693	3.763355
0.202725	3.998941
0.210584	4.218002
0.918177	0.322413
0.871880	0.795254
0.207176	0.291311
0.196273	0.769883
0.188309	1.215010
-0.326411	0.098730
-0.311597	0.593451
-0.219596	-0.006117
-0.210647	0.495409
-0.199637	0.961783
-0.186847	1.395457
-0.172527	1.798709
-0.455780	0.064344
-0.434670	0.562119
-0.412125	1.024944
-0.388394	1.455258
-0.363698	1.855332
-0.338237	2.227278
-0.312189	2.573059
-0.285714	2.894506
-0.258956	3.193319
0.732022	0.206300
0.094979	0.245376
-0.135751	0.045012
-0.130738	0.542540
-0.123489	1.005216
-0.114288	1.435468
-0.103396	1.835557
-0.091049	2.207585
-0.077458	2.553509
-0.062818	2.875151
-0.047301	3.174204
-0.031065	3.452246
-0.014251	3.710744
0.003016	3.951064
-0.880107	0.178525
0.000000	-0.355369
-0.003777	0.169507
-0.004740	0.657660
-0.003215	1.111648
0.000504	1.533849
0.389750	0.181435
0.369169	0.666785
0.352045	1.118265
0.338034	1.538226
0.326823	1.928860
0.455699	0.249446
-0.123940	0.102890
-0.119228	0.596307
-0.112285	1.055162
-0.103395	1.481862
-0.092816	1.878649
-0.080782	2.247607
-0.067505	2.590679
0.603836	0.212826
-0.111431	0.125127
-0.107234	0.616925
-0.100788	1.074276
-0.092377	1.499581
0.386611	0.165203
0.366107	0.651706
0.349060	1.104256
0.335128	1.525213
0.323998	1.916772
0.315382	2.280978
0.309018	2.619733
0.304665	2.934806
0.302106	3.227847
0.301140	3.500387
0.301585	3.753854
0.303275	3.989576
0.306059	4.208790
0.309800	4.412644
-0.961686	0.246074
0.170682	-0.024027
0.071367	0.146348
